Participant ID,Q. 1 In which industry have you been primarily employed-Please choose one of the following answers.,In which industry have you been primarily employed-Please choose one of the following answers. [Other],Q 2. What is the highest qualification you hold-Please choose one of the following answers.,What is the highest qualification you hold-Please choose one of the following answers. [Other],Q. 3 What is the institution where you completed your highest qualification- Please enter in the text box below.,Q. 4 When did you receive your highest qualification-Please enter the year in the box below.,Q. 5 How many years have you worked in your profession-Please choose one of the following answers.,"Q. 6 What is the country and state of your organisation-
Please enter in the text box below.",Q. 7 In what geographic area(s) would you consider yourself an expert-Please list up to three geographic areas. [],In what geographic area(s) would you consider yourself an expert-Please list up to three geographic areas. [],In what geographic area(s) would you consider yourself an expert-Please list up to three geographic areas. [],Q. 8 In what chronological period(s) would you consider yourself an expert- Please list up to three chronological periods. [],In what chronological period(s) would you consider yourself an expert- Please list up to three chronological periods. [],In what chronological period(s) would you consider yourself an expert- Please list up to three chronological periods. [],Q. 9 In what sub-discipline(s) would you consider yourself an expert- Please list up to three sub-disciplines. [],In what sub-discipline(s) would you consider yourself an expert- Please list up to three sub-disciplines. [],In what sub-discipline(s) would you consider yourself an expert- Please list up to three sub-disciplines. [],Q. 10 In what method(s) or technique(s) would you consider yourself an expert- Please list up to five methods or techniques. [],In what method(s) or technique(s) would you consider yourself an expert- Please list up to five methods or techniques. [],In what method(s) or technique(s) would you consider yourself an expert- Please list up to five methods or techniques. [],In what method(s) or technique(s) would you consider yourself an expert- Please list up to five methods or techniques. [],In what method(s) or technique(s) would you consider yourself an expert- Please list up to five methods or techniques. [],Q. 11 In what site type(s) and/or material culture(s) would you consider yourself an expert- Please list up to five site types and/or material cultures. [],In what site type(s) and/or material culture(s) would you consider yourself an expert- Please list up to five site types and/or material cultures. [],In what site type(s) and/or material culture(s) would you consider yourself an expert- Please list up to five site types and/or material cultures. [],In what site type(s) and/or material culture(s) would you consider yourself an expert- Please list up to five site types and/or material cultures. [],In what site type(s) and/or material culture(s) would you consider yourself an expert- Please list up to five site types and/or material cultures. [],"Q. 12 Do any reference materials directly influence the concepts and terminology of your publications or reports-
Please select yes or no. Please name your most influential reference material in the comment section.","Q. 13 If you answered yes to the question above, what reference materials most influence the concepts and terminology that you use-Please list up to five reference materials. []","If you answered yes to the question above, what reference materials most influence the concepts and terminology that you use-Please list up to five reference materials. []","If you answered yes to the question above, what reference materials most influence the concepts and terminology that you use-Please list up to five reference materials. []","If you answered yes to the question above, what reference materials most influence the concepts and terminology that you use-Please list up to five reference materials. []","If you answered yes to the question above, what reference materials most influence the concepts and terminology that you use-Please list up to five reference materials. []","Q. 14 If you teach archaeology (at a university, as part of induction of new employees into a cultural heritage firm, or in other settings), what reference materials do you recommend to your students or trainees-Please name up to five reference materials. Leave blank if not applicable. []","If you teach archaeology (at a university, as part of induction of new employees into a cultural heritage firm, or in other settings), what reference materials do you recommend to your students or trainees-Please name up to five reference materials. Leave blank if not applicable. []","If you teach archaeology (at a university, as part of induction of new employees into a cultural heritage firm, or in other settings), what reference materials do you recommend to your students or trainees-Please name up to five reference materials. Leave blank if not applicable. []","If you teach archaeology (at a university, as part of induction of new employees into a cultural heritage firm, or in other settings), what reference materials do you recommend to your students or trainees-Please name up to five reference materials. Leave blank if not applicable. []","If you teach archaeology (at a university, as part of induction of new employees into a cultural heritage firm, or in other settings), what reference materials do you recommend to your students or trainees-Please name up to five reference materials. Leave blank if not applicable. []",Q. 15 Have you seen other archaeologists using reference material which you consider to be outdated- Please name up to five reference materials. Leave blank if not applicable. [],Have you seen other archaeologists using reference material which you consider to be outdated- Please name up to five reference materials. Leave blank if not applicable. [],Have you seen other archaeologists using reference material which you consider to be outdated- Please name up to five reference materials. Leave blank if not applicable. [],Have you seen other archaeologists using reference material which you consider to be outdated- Please name up to five reference materials. Leave blank if not applicable. [],Have you seen other archaeologists using reference material which you consider to be outdated- Please name up to five reference materials. Leave blank if not applicable. [],Q. 16 Do you provide meaningful definitions for key terms in your publications and/or datasets-Please choose one of the following answers.,Q. 17 Do other archaeologists provide meaningful definitions for key terms in their publications and/or datasets-Please choose one of the following answers.,"Q. 18 Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I use a well-established system developed elsewhere]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I borrow from a well-established system developed elsewhere]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I use a less-established system developed elsewhere]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I borrow from a less-established system developed elsewhere]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I create new recording systems]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I inherit recording systems from an unknown source]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [Other]","Q. 19 If you answered the above question, and you borrow or adapt an existing system, please specify which system.",Q. 20 What working environments have most influenced the development of your concepts and terminology- [Ranking 1],What working environments have most influenced the development of your concepts and terminology- [Ranking 2],What working environments have most influenced the development of your concepts and terminology- [Ranking 3],What working environments have most influenced the development of your concepts and terminology- [Ranking 4],What working environments have most influenced the development of your concepts and terminology- [Ranking 5],What working environments have most influenced the development of your concepts and terminology- [Ranking 6],What working environments have most influenced the development of your concepts and terminology- [Ranking 7],"Q. 21 If you included ""other"", please specify.",Q. 22 What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 1],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 2],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 3],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 4],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 5],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 6],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 7],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 8],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 9],"Q. 23 If you included ""other"", please specify.",Q. 24 Do you think there is a lack of standardised vocabulary in archaeological literature/reports-Please choose one of the following answers.,"Q. 25 If you answered yes to the question above, how serious would you consider the impact of the lack of standardisation on archaeology as a discipline-
If you did not answer yes to the question above, please select 'no answer.'
Optional: can you think of a specific example where a lack of standardisation has been a significant issue- Please enter in comment section.","If you answered yes to the question above, how serious would you consider the impact of the lack of standardisation on archaeology as a discipline-
If you did not answer yes to the question above, please select 'no answer.'
Optional: can you think of a specific example where a lack of standardisation has been a significant issue- Please enter in comment section. - comment",Q. 26 Are you willing to compromise over the use of terms and concepts in your own practice to achieve a reconciliation of terms-,Are you willing to compromise over the use of terms and concepts in your own practice to achieve a reconciliation of terms- - comment,"Q. 27 To what extent would you consider your own lexicon to be part of a wider, accepted vocabulary within your sub-discipline(s)-
Please choose one of the following answers.",Q. 28 Please think of a disagreement you have had with other archaeologists over the use of a term. What was the term- Please list up to five terms. [],Please think of a disagreement you have had with other archaeologists over the use of a term. What was the term- Please list up to five terms. [],Please think of a disagreement you have had with other archaeologists over the use of a term. What was the term- Please list up to five terms. [],Please think of a disagreement you have had with other archaeologists over the use of a term. What was the term- Please list up to five terms. [],Please think of a disagreement you have had with other archaeologists over the use of a term. What was the term- Please list up to five terms. [],"Q. 29 Please describe in a few words an example where a disagreement over the definition of a term had a significant impact on research, analysis, or understanding. Please name the term, and provide a brief description. Leave blank if not applicable.","Q. 30 How often do you disagree with the terminology used in fieldwork, research or writing:Please choose one of the following answers for each question. [In your chronological period(s)-]","How often do you disagree with the terminology used in fieldwork, research or writing:Please choose one of the following answers for each question. [In your methodological practice(s)-]","How often do you disagree with the terminology used in fieldwork, research or writing:Please choose one of the following answers for each question. [In your sub-discipline(s)-]","How often do you disagree with the terminology used in fieldwork, research or writing:Please choose one of the following answers for each question. [Outside your sub-discipline(s)-]","Q. 31 When I work with other colleagues, I have to learn new terms to fit in with their workflow.Please choose one of the following answers.","Q. 32 A Please select your stance on the following statements.
Please choose one of the following answers for each statement. [I think that archaeologists across all sub-disciplines share common core concepts and terminology.]","Q. 32 B Please select your stance on the following statements.
Please choose one of the following answers for each statement. [When I read archaeological literature across all sub-disciplines, I see a commonly shared bank of concepts and terminology.]","Q. 32 C Please select your stance on the following statements.
Please choose one of the following answers for each statement. [I think that archaeologists in my sub-discipline(s) share common core concepts and terminology.]","Q. 32 D Please select your stance on the following statements.
Please choose one of the following answers for each statement. [When I read archaeological literature in my sub-discipline(s), I see a commonly shared bank of concepts and terminology.]",Q. 33 What three resources do you most frequently use to define concepts and/or terms- Please list up to three resources. Please be as specific as possible.  [],What three resources do you most frequently use to define concepts and/or terms- Please list up to three resources. Please be as specific as possible.  [],What three resources do you most frequently use to define concepts and/or terms- Please list up to three resources. Please be as specific as possible.  [],Q. 34 When does the standardisation of terminology become most important-Please choose one of the following answers.,When does the standardisation of terminology become most important-Please choose one of the following answers. [Other],"Q. 35 Thank you for participating in our survey. If you have any further comments please enter them in comment box below. If you wish for a reply, further information or to be updated on the progress of this project, please leave an email address. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,University,,Doctorate,,UNSW,2012,1-5,New South Wales (Australia),None whatsoever,,,13th Century,,,Tech stuffs,,,Implementing data standards,,,,,None whatsoever,,,,,No,,,,,,,,,,,,,,,,Never,Rarely,No,No,No,No,Yes,No,I design recording systems for other people to use,,Organisation/Company,Other,,,,,,Watching archaeologists argue.,Journal Articles,Workshops,,,,,,,,,Yes,Major,,Yes,,"Few of the terms within my own lexicon are part of a wider, accepted vocabulary.",Project,Entity,,,,"We had to shout at each other for 3 months before establishing a trading zone (Galison, image and logic)",No answer,No answer,No answer,No answer,Rarely,Strongly Disagree,,Strongly Disagree,,Shawn and Adela,,,Other,"All of the above, as they're distinct steps.","Oh, I was expecting this to be far worse...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Other,Univeristy & CRM equally,Doctorate,,LTU,2008,16-20,Victoria (Australia) & NSW,Sydney,London,,19th c,late18thc,,Historical ,Movable heritage,,Artefact studies,assemblage analysis,,,,historic material culture,,,,,Yes,parks canada glass glossary,cugl reports,,,,,,,,,no,,,,,Sometimes,Rarely,No,Yes,No,No,No,No,,CuGL,Individual Research,Professional Mentor,,,,,,,Recording Forms,Handbooks,Reports,Monographs,Workshops,,,,,,Yes,Minor,,Yes,,"Most of the terms within my own lexicon are part of a wider, accepted vocabulary.",Whiteware,Distributor,Function vs Form,Analysis vs Cataloguing/Processing,Master Context,"Can't remember the exact phrasing but 'same as', ie 'same style as' had been misinterpreted as 'same vessel as', ie conjoined artefacts. This found its way into the report and it was claimed that the conjoins were distributed over several houseblocks and that all deposits were part of a 'single event'. Further checking revealed there were none or few actual joins and there was no reason to presume these separate fills were part of the same deposition event. ",Sometimes,Sometimes,Sometimes,No answer,Sometimes,Agree,Agree,Agree,Agree,google,handbooks,,At publication,,Well done Corinne & Georgia! ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Heritage Management,,Honours,,Sydney University,1992,20+,Western Australia (Australia),Pilbara,Central Desert,South West Western Australia,Pleistocene,Holocene,,Indigenous,Cultural Heritage Management,,Surface survey,Open site recording,Excavstion,,,lithics,rock shelters,shell middens,stone arrangements,rock art,Yes,"Andrefsky, W. (1998). Lithics: macroscopic approaches to analysis. Cambridge Manuals in Archaeology. Cambridge: Cambridge University Press.","Smith, M. (1986). The antiquity of seed grinding in arid Australia. Archaeology in Oceania, 21, 29–39.","Claassen, C. (1998). Shells. Cambridge manuals in archaeology. Cambridge: Cambridge University Press.","Hiscock, P., & Attenbrow, V. (1998). Early Holocene backed artefacts from Australia. Archaeology in Oceania, 33(2), 49–62.","Veth, P. M. (1993). Islands in the Interior: The Dynamics of Prehistoric Adaptations within the Arid Zone of Australia. International Monographs in Prehistory. Michigan: Ann Arbor.","Andrefsky, W. (1998). Lithics: macroscopic approaches to analysis. Cambridge Manuals in Archaeology. Cambridge: Cambridge University Press.","Smith, M. (1986). The antiquity of seed grinding in arid Australia. Archaeology in Oceania, 21, 29–39.","Claassen, C. (1998). Shells. (D. Brothwell, G. Barker, D. Dincauze, & P. Renouf, Eds.)Cambridge manuals in archaeology (p. 266). Cambridge: Cambridge University Press.","Robertson, G., Attenbrow, V., & Hiscock, P. (2009). Multiple uses for Australian backed artefacts. Antiquity, 83, 296–308.","Veth, P. M. (1993). Islands in the Interior: The Dynamics of Prehistoric Adaptations within the Arid Zone of Australia. International Monographs in Prehistory. Michigan: Ann Arbor.",,,,,,Always,Sometimes,No,No,No,No,Yes,No,,,Professional Mentor,Fieldwork,Institutional Training,Individual Research,Organisation/Company,Government Institution,Other,,Reports,Recording Forms,Handbooks,Textbooks,Workshops,Monographs,Conference Papers,Journal Articles,Other,,Yes,Major,Researcher (Marwick 2002) not defining artefact type that comprises 80% of his Pleistocene assemblage. ,Yes,Have worked collaboratively with other researchers and have shifted definitions and terms if it makes sense and is for the betterment for the project.,"All of the terms within my own lexicon are part of a wider, accepted vocabulary.",Angular fragment,,,,,Angular fragments in the Pilbara are in 90% of cases natural. I have had arguments with other consultants who use that term and their definition means that any piece of heat fractured stone with no flaking diagnostics is recorded as an artefact. This skews the results of their analysis,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Discussion with collegues,,,At data creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,University,,Doctorate,,University of Sydney,1987,20+,Victoria Australia ,Australia Europe North America,,,Historical,,,Historical archaeology Industrial archaeology History of Archaeology Theoretical Archaeology,,,Excavation material culture analysis,,,,,"Ceramics, urban sites",,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,University,,Bachelors,,Flinders,2006,I am currently studying.,South Australia (Australia),Most familiar,Papua New Guinea,Northern Queensland,In best briefed order ,Pleistocene,Holocene,Most confident,Indigenous,Historical,Most confident,Surface survey,excavation,,,Most confident,lithics,ceramics,oesteology,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Heritage Management,,Honours,,Sydney University,2000,11-15,"New South Wales, Australia","New South Wales, Australia",,,Mid-late Holocene,,,Aboriginal archaeology,,,"archaeological survey, stone artefact identification, shell midden analysis, archaeozoology, GIS",,,,,"shell middens, lithics",,,,,Yes,NSW National Parks and Wildlife Act 1974 and associated Codes and Guidelines,,,,,,,,,,,,,,,Always,Often,No,Yes,No,No,No,No,,Code of Practice for Archaeological Investigation of Aboriginal Objects in NSW,Other,Organisation/Company,Individual Research,Institutional Training,Fieldwork,,,Legislation and compliance,Other,Reports,Recording Forms,Handbooks,Workshops,,,,,"Codes under the NPW Act, because if you't tick the boxes some of what you do is illegal",No,No real impact,,Yes,,"All of the terms within my own lexicon are part of a wider, accepted vocabulary.",Artefact scatter,Post-invasion,,,,"Artefact scatter: Following comments on the issue at a AAA conferences and elsewhere by Colin Pardoe, scatter is widely used to denote something that is in fact the opposite - it is usually better described as an 'artefact concentration'
Post-invasion: Many prefer 'post-contact', 'post-European', 'post-1788'; but it wasn't just contact, wasn't just European, was often not in 1788, but was by any reasonable definition an invasion",Rarely,Rarely,Rarely,Rarely,Sometimes,Agree,Agree,Agree,Agree,Code of Practice for Archaeological Investigation of Aboriginal Objects in NSW,,,At data creation,,"- While it is not ideal, and practitioners should in fact have the freedom to undertake archaeological investigation according to methods that they can reasonable justify, consulting practice is increasingly proscribed by Codes and Guidelines. My feeling in the structure of the questions is that this may have been underestimated.
- Where people usually go wrong is when they dally in other fields. Biologists are often appalled by archaeologists' poor taxonomy; geologists by how we classify lithic raw materials; and so on and on.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Government Institution,,Masters,,University of New England/Flinders University,2010,6-10,"Queensland, Australia",Cental Queensland,,,Late Holocence,,,cultural heritage management,,,Cultural heritage assessment,Cultural heritage negotiations,Archaeological field surveying,Technical writing,,Rock art,Lithings,Faunal remains,Artefact sites,,,,,,,,,,,,,,,,,,Often,Often,Yes,No,No,No,No,No,,,Institutional Training,,,,,,,,,,,,,,,,,,, ,, ,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Heritage Management,,Doctorate,,Sydney University,2001,20+,Australian Capital Territory (Australia),Eastern Australia,Cyprus,,Colonial,,,Historical,Heritage management,,Survey,Excavation,Ethnography,,,Urban archaeology,Missions,Ceramics,Buildings,,Yes,"Burke and Smith, archaeologists field handbook","ICOMOS, Illustrated Burra Charter",,,,"ICOMOS, Illustrated Burra Charter","Burke and Smith, Archaeologists Field Handbook",,,,,,,,,Often,Sometimes,No,Yes,No,No,No,No,,"troodos archaeological and environmental survey project, Uni of glasgow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,University,,Doctorate,,Flinders University,1999,20+,"Victoria, Australia","South Australia, Tasmania and Victoria, Australia",Vietnam,,Medieval / Pre-modern,Modern,,Maritime archaeology,Historical archaeology,Cultural Heritage Management,survey,excavation,photography,analysis,,shipwrecks,ceramics,glass,wood,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Heritage Management,,Masters,,"Cardiff University, United Kingdom",2006,6-10,New South Wales (Australia),"Sydney Basin, Blue Mountains and central New South Wales, Australia","Melbourne area and Mornington Penninsula, Victoria",,Pre-1788 Australia (Aboriginal/Indigenous archaeology) ,Roman ,Neolithic,Indigenous,Historical,Classical,Excavation,Cultural Heritage Management,Historian,,,Lithics,Rock Art,Scarred Trees,,,Yes,Material published by the Office of Environment and Heritage - such as terminology used on AHIMS site ,cards and in their Code of Practice.,,,,"Legislation, AHIMS site card forms and the OEH Code of Practice for archaeologists. Also Attenbrow's (2004)",Sydney's Aboriginal Past as an overview of the region.,,,,"Not really, but I don't have many chances to see archaeologists outside of my own office",,,,,Often,Often,No,Yes,No,No,Yes,No,,the MOLAS site manual and the OEH Code of Practice,Institutional Training,Organisation/Company,Fieldwork,Government Institution,,,,,Recording Forms,Workshops,Textbooks,Handbooks,Conference Papers,,,,,,Yes,Major,"Definitions surrounding archaeological ""potential"" vary from company to company, and between individuals.",Yes,"Providing I am sure that other companies are using the same terms and concepts, it would not be an issue.","Most of the terms within my own lexicon are part of a wider, accepted vocabulary.",Potential,"Low, Moderate and High Significance",Culturally Modified Tree,"Lithic Materials, i.e. silcrete, chert or mudstone",Potentially Sensitive Area,"Other consultants labelled areas as being ""Potential Archaeological Deposits"" (PADs) interspersed with ""Potentially Sensitive Areas"" (PSAs). PADs have a defined meaning with the OEH and archaeologists in NSW, while no-one I was in contact with had come across PSAs as a definition of area. It also caused complications when trying to explain to OEH why these areas of PSA had been created by other consultants.",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,The OEH Code of Practice,,,At data creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
